time	1-SP	1-T	2-T	2-SP
2021-04-13T17:10:34.749Z	611	608	555	553
2021-04-13T17:10:54.753Z	662	660	581	583
2021-04-13T17:11:14.768Z	715	712	609	608
2021-04-13T17:11:34.777Z	760	762	637	635
2021-04-13T17:11:54.783Z	806	808	664	662
2021-04-13T17:12:14.797Z	849	851	688	689
2021-04-13T17:12:34.807Z	887	889	713	714
2021-04-13T17:12:54.816Z	920	919	739	740
2021-04-13T17:13:14.829Z	948	947	763	764
2021-04-13T17:13:34.832Z	970	969	786	785
2021-04-13T17:13:54.843Z	985	986	809	808
2021-04-13T17:14:14.857Z	996	996	831	830
2021-04-13T17:14:34.867Z	1000	1000	850	851
2021-04-13T17:14:54.879Z	998	998	869	870
2021-04-13T17:15:14.892Z	989	990	888	887
2021-04-13T17:15:34.896Z	976	975	905	904
2021-04-13T17:15:54.904Z	956	955	921	920
2021-04-13T17:16:14.915Z	930	928	934	935
2021-04-13T17:16:34.923Z	898	900	948	948
2021-04-13T17:16:54.926Z	862	863	959	960
2021-04-13T17:17:14.935Z	820	822	970	969
2021-04-13T17:17:34.945Z	779	777	979	978
2021-04-13T17:17:54.947Z	731	728	986	986
2021-04-13T17:18:14.958Z	679	681	992	992
2021-04-13T17:18:34.972Z	625	627	996	996
2021-04-13T17:18:56.363Z	566	572	999	999
2021-04-13T17:19:16.376Z	514	512	1000	1000
2021-04-13T17:19:36.383Z	458	455	1000	1000
2021-04-13T17:19:56.385Z	402	404	998	998
2021-04-13T17:20:16.397Z	347	349	994	994
2021-04-13T17:20:36.411Z	294	297	989	989
2021-04-13T17:20:56.426Z	248	246	982	983
2021-04-13T17:21:16.434Z	201	199	975	974
2021-04-13T17:21:36.441Z	158	160	965	965
2021-04-13T17:21:56.452Z	119	121	954	954
2021-04-13T17:22:16.465Z	85	86	942	942
2021-04-13T17:22:36.477Z	58	57	928	928
2021-04-13T17:22:56.480Z	35	34	914	913
2021-04-13T17:23:16.487Z	17	18	897	896
2021-04-13T17:23:36.493Z	6	6	879	879
2021-04-13T17:23:56.501Z	0	0	860	861
2021-04-13T17:24:16.501Z	1	1	840	841
2021-04-13T17:24:36.511Z	8	9	821	820
2021-04-13T17:24:56.525Z	22	21	799	798
2021-04-13T17:25:16.540Z	41	40	775	774
2021-04-13T17:25:36.547Z	66	65	751	753
2021-04-13T17:25:56.550Z	94	96	727	728
2021-04-13T17:26:16.562Z	130	131	703	702
2021-04-13T17:26:36.573Z	170	168	677	676
2021-04-13T17:26:56.586Z	214	212	650	649
2021-04-13T17:27:16.588Z	263	260	623	625
2021-04-13T17:27:36.594Z	309	311	596	597
2021-04-13T17:27:56.599Z	362	365	568	569
2021-04-13T17:28:16.605Z	417	420	542	541
2021-04-13T17:28:36.616Z	474	471	514	513
2021-04-13T17:28:56.619Z	530	528	486	487
2021-04-13T17:29:16.620Z	581	584	457	459
2021-04-13T17:29:36.626Z	637	639	429	431
2021-04-13T17:29:56.628Z	690	688	404	403
2021-04-13T17:30:16.635Z	742	739	376	375
2021-04-13T17:30:36.647Z	785	787	349	350
2021-04-13T17:30:56.657Z	830	832	322	323
2021-04-13T17:31:16.663Z	870	872	298	297
2021-04-13T17:31:36.676Z	906	905	273	271
2021-04-13T17:31:56.686Z	937	935	248	249
2021-04-13T17:32:16.697Z	959	960	224	225
2021-04-13T17:32:36.703Z	979	980	202	201
2021-04-13T17:32:56.707Z	992	992	180	179
2021-04-13T17:33:16.713Z	999	999	159	160
