time	1-SP	1-T	2-T	2-SP
2021-04-13T17:10:34.749Z	611	608	555	553
2021-04-13T18:10:54.753Z	662	660	581	583
2021-04-13T19:11:14.768Z	715	712	609	608
2021-04-13T20:11:34.777Z	760	762	637	635
2021-04-13T21:11:54.783Z	806	808	664	662
2021-04-13T22:12:14.797Z	849	851	688	689
2021-04-13T23:12:34.807Z	887	889	713	714
2021-04-14T00:12:54.816Z	920	919	739	740
2021-04-14T01:13:14.829Z	948	947	763	764
2021-04-14T02:13:34.832Z	970	969	786	785
2021-04-14T03:13:54.843Z	985	986	809	808
2021-04-14T04:14:14.857Z	996	996	831	830
2021-04-14T05:14:34.867Z	1000	1000	850	851
2021-04-14T06:14:54.879Z	998	998	869	870
2021-04-14T07:15:14.892Z	989	990	888	887
2021-04-14T08:15:34.896Z	976	975	905	904
2021-04-14T09:15:54.904Z	956	955	921	920
2021-04-14T10:16:14.915Z	930	928	934	935
2021-04-14T11:16:34.923Z	898	900	948	948
2021-04-14T12:16:54.926Z	862	863	959	960
2021-04-14T13:17:14.935Z	820	822	970	969
2021-04-14T14:17:34.945Z	779	777	979	978
2021-04-14T15:17:54.947Z	731	728	986	986
2021-04-14T16:18:14.958Z	679	681	992	992
2021-04-14T17:18:34.972Z	625	627	996	996
