time	1-tT	1-T
2023-05-18T17:25:39.463Z	0	0
2023-05-18T17:25:44.463Z	0	0
2023-05-18T17:26:52.605Z	366	365
2023-05-18T17:27:12.607Z	398	398
2023-05-18T17:27:32.618Z	429	429
2023-05-18T17:27:52.630Z	458	458
2023-05-18T17:28:12.632Z	485	485
2023-05-18T17:28:32.636Z	511	510
2023-05-18T17:28:52.651Z	533	533
2023-05-18T17:29:54.822Z	366	366
2023-05-18T17:30:14.823Z	398	398
2023-05-18T17:30:34.822Z	429	429
2023-05-18T17:30:54.827Z	458	458
2023-05-18T17:31:14.833Z	486	485
2023-05-18T17:31:34.863Z	510	511
2023-05-18T17:31:54.864Z	533	533
2023-05-18T17:32:14.876Z	552	553
2023-05-18T17:32:34.882Z	569	569
2023-05-18T17:32:54.885Z	582	582
2023-05-18T17:33:14.888Z	591	592
2023-05-18T17:33:34.891Z	598	598
2023-05-18T17:33:54.898Z	600	600
2023-05-18T17:34:14.911Z	599	599
2023-05-18T17:34:34.921Z	594	594
2023-05-18T17:34:54.925Z	585	585
2023-05-18T17:35:14.931Z	573	573
2023-05-18T17:35:34.936Z	557	557
2023-05-18T17:35:54.950Z	538	539
2023-05-18T17:36:14.950Z	517	517
2023-05-18T17:36:34.965Z	493	492
2023-05-18T17:36:54.970Z	466	466
2023-05-18T17:37:14.977Z	437	437
2023-05-18T17:37:34.985Z	407	407
2023-05-18T17:37:55.000Z	375	375
2023-05-18T17:38:15.010Z	342	342
2023-05-18T17:38:35.017Z	310	309
2023-05-18T17:38:55.031Z	276	276
2023-05-18T17:39:15.046Z	243	243
2023-05-18T17:39:35.058Z	210	211
2023-05-18T17:39:55.064Z	179	179
2023-05-18T17:40:15.073Z	150	149
2023-05-18T17:40:35.087Z	121	122
2023-05-18T17:40:55.100Z	96	96
2023-05-18T17:41:15.104Z	73	73
2023-05-18T17:41:35.105Z	52	53
2023-05-18T17:41:55.110Z	35	35
2023-05-18T17:42:15.121Z	21	21
2023-05-18T17:42:35.130Z	11	11
2023-05-18T17:42:55.142Z	4	4
2023-05-18T17:43:15.157Z	0	0
2023-05-18T17:43:35.160Z	1	1
2023-05-18T17:43:55.162Z	5	5
2023-05-18T17:44:15.176Z	12	12
2023-05-18T17:44:35.179Z	24	24
2023-05-18T17:44:55.192Z	38	39
2023-05-18T17:45:15.201Z	56	56
2023-05-18T17:45:35.206Z	77	77
2023-05-18T17:45:55.212Z	101	101
2023-05-18T17:46:15.225Z	127	127
2023-05-18T17:46:35.234Z	155	155
2023-05-18T17:47:18.602Z	366	366
2023-05-18T17:47:38.605Z	397	398
2023-05-18T17:47:58.609Z	429	429
2023-05-18T17:48:18.621Z	458	458
2023-05-18T17:48:38.622Z	485	486
2023-05-18T17:48:58.627Z	510	511
2023-05-18T17:49:18.637Z	533	533
2023-05-18T17:49:38.644Z	553	552
2023-05-18T17:49:58.655Z	569	569
2023-05-18T17:50:18.662Z	582	582
2023-05-18T17:50:38.667Z	592	592
2023-05-18T17:50:58.669Z	598	598
2023-05-18T17:51:18.677Z	600	600
2023-05-18T17:51:38.688Z	599	599
2023-05-18T17:51:58.693Z	594	594
2023-05-18T17:52:18.701Z	585	585
2023-05-18T17:52:38.705Z	573	573
2023-05-18T17:52:58.710Z	557	557
2023-05-18T17:53:18.716Z	539	539
2023-05-18T17:53:38.729Z	517	517
2023-05-18T17:53:58.730Z	492	493
2023-05-18T17:54:18.735Z	466	466
2023-05-18T17:54:38.744Z	437	437
2023-05-18T17:54:58.753Z	407	406
2023-05-18T17:55:18.756Z	375	375
2023-05-18T17:55:38.759Z	342	342
2023-05-18T17:55:58.770Z	309	309
2023-05-18T17:56:18.781Z	276	275
2023-05-18T17:56:38.782Z	243	243
2023-05-18T17:56:58.794Z	211	210
2023-05-18T17:57:18.801Z	179	180
2023-05-18T17:57:38.806Z	150	149
2023-05-18T17:57:58.817Z	122	122
2023-05-18T17:58:18.831Z	96	96
2023-05-18T17:58:38.835Z	73	73
2023-05-18T17:58:58.847Z	52	53
2023-05-18T17:59:18.854Z	35	35
2023-05-18T17:59:38.854Z	21	21
2023-05-18T17:59:58.857Z	11	11
2023-05-18T18:00:18.862Z	4	4
2023-05-18T18:00:38.867Z	0	0
2023-05-18T18:00:58.870Z	1	1
2023-05-18T18:01:18.881Z	5	5
2023-05-18T18:01:38.883Z	12	12
2023-05-18T18:01:58.893Z	23	24
2023-05-18T18:02:18.905Z	38	38
2023-05-18T18:02:38.906Z	56	56
2023-05-18T18:02:58.917Z	77	77
2023-05-18T18:03:18.932Z	101	101
2023-05-18T18:03:38.933Z	126	127
2023-05-18T18:03:58.944Z	155	155
2023-05-18T18:04:18.945Z	185	185
2023-05-18T18:04:38.947Z	217	216
2023-05-18T18:04:58.960Z	249	249
2023-05-18T18:05:18.968Z	282	282
2023-05-18T18:05:38.979Z	315	315
2023-05-18T18:05:58.986Z	349	348
2023-05-18T18:06:18.999Z	381	381
2023-05-18T18:06:39.010Z	413	413
2023-05-18T18:06:59.017Z	443	443
2023-05-18T18:07:19.020Z	472	471
2023-05-18T18:07:39.029Z	498	497
2023-05-18T18:07:59.041Z	521	521
2023-05-18T18:08:19.044Z	542	543
2023-05-18T18:08:39.059Z	560	561
2023-05-18T18:08:59.066Z	575	575
2023-05-18T18:09:19.069Z	587	587
2023-05-18T18:09:39.077Z	595	595
2023-05-18T18:09:59.091Z	599	599
2023-05-18T18:10:19.100Z	600	600
2023-05-18T18:10:39.106Z	597	597
2023-05-18T18:10:59.111Z	590	590
2023-05-18T18:11:19.125Z	580	580
2023-05-18T18:11:39.127Z	566	566
2023-05-18T18:11:59.139Z	549	549
2023-05-18T18:12:19.144Z	529	529
2023-05-18T18:12:39.156Z	506	506
2023-05-18T18:12:59.157Z	480	481
2023-05-18T18:13:19.163Z	453	452
2023-05-18T18:13:39.176Z	423	423
2023-05-18T18:13:59.179Z	392	392
2023-05-18T18:14:19.186Z	359	360
2023-05-18T18:14:39.198Z	326	327
2023-05-18T18:14:59.205Z	293	294
2023-05-18T18:15:19.210Z	260	260
2023-05-18T18:15:39.222Z	228	227
2023-05-18T18:15:59.221Z	195	196
2023-05-18T18:16:19.235Z	165	165
2023-05-18T18:16:39.248Z	136	136
2023-05-18T18:16:59.249Z	109	109
2023-05-18T18:17:19.260Z	84	85
2023-05-18T18:17:39.262Z	63	63
2023-05-18T18:17:59.265Z	44	44
2023-05-18T18:18:19.272Z	28	28
2023-05-18T18:18:39.280Z	16	16
2023-05-18T18:18:59.294Z	7	7
2023-05-18T18:19:19.296Z	2	2
2023-05-18T18:19:39.299Z	0	0
2023-05-18T18:19:59.314Z	2	2
2023-05-18T18:20:19.323Z	8	8
2023-05-18T18:20:39.323Z	17	17
2023-05-18T18:20:59.331Z	30	30
2023-05-18T18:21:19.335Z	46	46
2023-05-18T18:21:39.346Z	65	66
2023-05-18T18:21:59.347Z	88	88
2023-05-18T18:22:19.361Z	112	113
2023-05-18T18:22:39.372Z	140	139
2023-05-18T18:22:59.383Z	169	169
2023-05-18T18:23:19.384Z	200	200
2023-05-18T18:23:39.387Z	232	232
2023-05-18T18:23:59.400Z	264	265
2023-05-18T18:24:19.406Z	298	298
2023-05-18T18:24:39.408Z	331	332
2023-05-18T18:24:59.421Z	364	364
2023-05-18T18:25:19.423Z	396	396
2023-05-18T18:25:39.426Z	427	427
2023-05-18T18:25:59.436Z	457	456
2023-05-18T18:26:19.442Z	484	484
2023-05-18T18:26:39.449Z	509	509
2023-05-18T18:26:59.462Z	531	532
2023-05-18T18:27:19.478Z	551	552
2023-05-18T18:27:39.481Z	568	568
2023-05-18T18:27:59.487Z	581	581
2023-05-18T18:28:19.491Z	591	591
2023-05-18T18:28:39.501Z	597	597
2023-05-18T18:28:59.504Z	600	600
2023-05-18T18:29:19.519Z	599	599
2023-05-18T18:29:39.527Z	594	594
2023-05-18T18:29:59.531Z	586	585
2023-05-18T18:30:19.534Z	573	574
2023-05-18T18:30:39.545Z	558	558
2023-05-18T18:30:59.555Z	540	540
2023-05-18T18:31:19.567Z	518	518
2023-05-18T18:31:39.569Z	494	494
2023-05-18T18:31:59.583Z	467	468
