time	1-tT	1-T	2-tT	2-T
2023-06-29T21:03:02.168Z	0	0	0	0
2023-06-29T21:03:07.168Z	0	0	0	0
2023-06-29T21:03:42.179Z	365	364	333	333
2023-06-29T21:04:02.192Z	397	398	350	349
2023-06-29T21:04:22.204Z	428	429	366	366
2023-06-29T21:04:42.217Z	457	458	382	382
2023-06-29T21:05:02.220Z	486	485	398	398
2023-06-29T21:05:22.223Z	511	510	413	413
2023-06-29T21:05:42.235Z	533	533	428	428
2023-06-29T21:06:02.236Z	552	552	443	444
2023-06-29T21:06:22.241Z	569	568	458	458
2023-06-29T21:06:42.255Z	582	582	471	472
2023-06-29T21:07:02.259Z	591	591	486	485
2023-06-29T21:07:22.270Z	597	597	498	498
