time	T1	T2	T3	T4
2020-02-25T19:14:59	14	14	13	14
2020-02-25T19:15:11	14	14	13	14
2020-02-25T19:15:21	14	14	13	14
2020-02-25T19:15:31	14	14	14	14
2020-02-25T19:15:41	14	14	14	14
2020-02-25T19:15:51	14	14	13	14
2020-02-25T19:16:01	14	14	13	14
2020-02-25T19:16:11	14	14	14	14
2020-02-25T19:16:21	14	15	16	14
2020-02-25T19:16:31	14	17	18	15
2020-02-25T19:16:41	16	18	20	15
2020-02-25T19:16:51	18	19	21	15
2020-02-25T19:17:01	19	20	22	16
2020-02-25T19:17:12	20	21	23	16
2020-02-25T19:17:22	21	21	23	16
2020-02-25T19:17:32	21	21	23	17
2020-02-25T19:17:42	21	22	23	17
2020-02-25T19:17:52	21	22	23	17
2020-02-25T19:18:02	22	22	23	17
2020-02-25T19:18:12	22	22	22	17
2020-02-25T19:18:22	22	22	22	18
2020-02-25T19:18:32	22	22	22	18
2020-02-25T19:18:42	22	22	22	18
2020-02-25T19:18:52	22	22	22	18
2020-02-25T19:19:02	22	22	21	18
2020-02-25T19:19:12	22	22	21	18
2020-02-25T19:19:22	22	21	21	18
2020-02-25T19:19:32	22	21	21	18
2020-02-25T19:19:42	22	20	21	18
2020-02-25T19:19:52	22	21	21	18
2020-02-25T19:20:02	22	23	21	18
2020-02-25T19:20:12	22	23	21	18
2020-02-25T19:20:22	22	24	24	18
2020-02-25T19:20:32	22	25	26	19
2020-02-25T19:20:42	23	26	27	19
2020-02-25T19:20:52	23	26	28	19
2020-02-25T19:21:02	23	26	28	19
2020-02-25T19:21:12	25	27	29	20
2020-02-25T19:21:22	27	26	30	20
2020-02-25T19:21:32	28	26	30	20
2020-02-25T19:21:42	29	26	30	20
2020-02-25T19:21:52	29	27	31	21
2020-02-25T19:22:02	30	27	31	21
2020-02-25T19:22:12	30	26	31	21
2020-02-25T19:22:22	31	26	30	22
2020-02-25T19:22:32	30	27	30	22
2020-02-25T19:22:42	30	27	30	22
2020-02-25T19:22:52	30	28	29	22
2020-02-25T19:23:02	31	29	30	22
2020-02-25T19:23:12	31	30	30	22
2020-02-25T19:23:22	31	31	29	22
2020-02-25T19:23:32	31	31	30	23
2020-02-25T19:23:42	31	32	30	23
2020-02-25T19:23:52	31	33	29	23
2020-02-25T19:24:02	31	32	30	23
2020-02-25T19:24:12	31	33	32	23
2020-02-25T19:24:22	31	33	32	23
2020-02-25T19:24:32	31	34	34	23
2020-02-25T19:24:42	32	34	35	24
2020-02-25T19:24:52	32	34	35	24
2020-02-25T19:25:02	32	34	36	24
2020-02-25T19:25:12	32	34	36	24
2020-02-25T19:25:22	34	34	37	24
2020-02-25T19:25:32	35	34	37	26
2020-02-25T19:25:42	36	34	37	25
2020-02-25T19:25:52	37	34	37	25
2020-02-25T19:26:02	37	34	37	26
2020-02-25T19:26:12	37	34	37	26
2020-02-25T19:26:22	37	34	36	26
2020-02-25T19:26:32	37	34	36	26
2020-02-25T19:26:42	37	35	36	26
2020-02-25T19:26:52	37	35	36	26
2020-02-25T19:27:02	38	37	36	27
2020-02-25T19:27:12	38	39	36	26
2020-02-25T19:27:22	37	40	36	27
2020-02-25T19:27:32	37	41	36	27
2020-02-25T19:27:42	37	41	37	27
2020-02-25T19:27:52	38	42	40	27
2020-02-25T19:28:02	38	43	42	27
2020-02-25T19:28:12	39	43	43	28
2020-02-25T19:28:22	39	43	43	28
2020-02-25T19:28:32	39	43	43	28
2020-02-25T19:28:42	40	43	43	29
2020-02-25T19:28:52	42	44	43	29
2020-02-25T19:29:02	42	44	44	30
2020-02-25T19:29:12	43	43	44	30
2020-02-25T19:29:22	43	43	44	30
2020-02-25T19:29:32	43	43	44	31
2020-02-25T19:29:42	43	42	43	31
2020-02-25T19:29:52	43	42	42	31
2020-02-25T19:30:02	43	42	42	31
2020-02-25T19:30:12	43	42	42	31
2020-02-25T19:30:22	43	42	42	31
2020-02-25T19:30:32	43	43	42	31
2020-02-25T19:30:42	43	46	45	31
2020-02-25T19:30:52	44	49	45	31
2020-02-25T19:31:02	44	51	48	32
2020-02-25T19:31:12	45	51	48	32
2020-02-25T19:31:22	45	53	50	32
2020-02-25T19:31:32	45	53	50	33
2020-02-25T19:31:42	45	53	50	33
2020-02-25T19:31:52	45	53	50	33
2020-02-25T19:32:02	45	53	50	33
2020-02-25T19:32:12	47	52	51	34
2020-02-25T19:32:22	50	52	52	34
2020-02-25T19:32:32	51	52	52	34
2020-02-25T19:32:42	52	52	51	35
2020-02-25T19:32:52	52	51	52	35
2020-02-25T19:33:02	52	51	52	35
2020-02-25T19:33:12	52	50	51	35
2020-02-25T19:33:22	52	50	50	35
2020-02-25T19:33:32	52	50	49	35
2020-02-25T19:33:42	51	50	49	36
2020-02-25T19:33:52	51	49	49	36
2020-02-25T19:34:02	51	49	49	36
2020-02-25T19:34:12	51	50	52	36
2020-02-25T19:34:22	52	52	53	36
2020-02-25T19:34:32	52	54	55	37
2020-02-25T19:34:42	52	56	56	37
2020-02-25T19:34:52	52	56	56	37
2020-02-25T19:35:02	52	56	56	37
2020-02-25T19:35:12	52	56	55	37
2020-02-25T19:35:22	52	55	55	37
2020-02-25T19:35:32	52	56	54	37
2020-02-25T19:35:42	54	56	55	38
2020-02-25T19:35:52	56	56	56	38
2020-02-25T19:36:02	56	55	57	38
2020-02-25T19:36:12	58	55	57	38
2020-02-25T19:36:22	58	55	56	39
2020-02-25T19:36:32	58	54	56	39
2020-02-25T19:36:42	58	55	55	39
2020-02-25T19:36:52	58	56	55	39
2020-02-25T19:37:02	58	59	56	40
2020-02-25T19:37:12	59	61	58	40
2020-02-25T19:37:22	59	62	59	40
2020-02-25T19:37:32	59	62	61	40
2020-02-25T19:37:42	59	62	61	41
2020-02-25T19:37:52	59	62	61	41
2020-02-25T19:38:02	59	62	61	41
2020-02-25T19:38:12	59	63	61	41
2020-02-25T19:38:22	59	62	60	41
2020-02-25T19:38:32	59	61	59	41
2020-02-25T19:38:42	59	61	59	41
2020-02-25T19:38:52	59	61	61	41
2020-02-25T19:39:02	61	60	63	42
2020-02-25T19:39:12	63	61	64	42
2020-02-25T19:39:22	64	61	64	42
2020-02-25T19:39:32	64	61	64	43
2020-02-25T19:39:42	64	62	64	43
2020-02-25T19:39:52	64	63	64	43
2020-02-25T19:40:02	64	64	63	43
2020-02-25T19:40:12	63	64	63	43
2020-02-25T19:40:22	63	63	62	43
2020-02-25T19:40:32	63	64	62	43
2020-02-25T19:40:42	63	64	64	43
2020-02-25T19:40:52	63	64	66	44
2020-02-25T19:41:02	63	65	67	44
2020-02-25T19:41:12	65	65	68	44
2020-02-25T19:41:22	66	64	69	44
2020-02-25T19:41:32	68	64	69	45
2020-02-25T19:41:42	68	66	69	45
2020-02-25T19:41:52	69	67	69	45
2020-02-25T19:42:02	69	68	69	46
2020-02-25T19:42:12	69	69	68	46
2020-02-25T19:42:22	68	69	68	46
2020-02-25T19:42:32	69	69	67	46
2020-02-25T19:42:42	69	69	67	46
2020-02-25T19:42:52	68	69	67	46
2020-02-25T19:43:02	68	69	66	46
2020-02-25T19:43:12	68	69	69	47
2020-02-25T19:43:22	68	70	72	47
2020-02-25T19:43:32	68	69	73	47
2020-02-25T19:43:42	70	69	76	47
2020-02-25T19:43:52	72	69	76	47
2020-02-25T19:44:02	73	70	76	48
2020-02-25T19:44:12	72	71	76	48
2020-02-25T19:44:22	73	72	77	48
2020-02-25T19:44:32	73	72	75	49
2020-02-25T19:44:42	73	73	76	49
2020-02-25T19:44:52	73	74	75	49
2020-02-25T19:45:02	73	73	74	49
2020-02-25T19:45:12	72	74	73	49
2020-02-25T19:45:22	72	73	72	49
2020-02-25T19:45:32	72	73	74	49
2020-02-25T19:45:42	74	73	77	50
2020-02-25T19:45:52	77	74	79	51
2020-02-25T19:46:02	79	73	80	51
2020-02-25T19:46:12	80	75	80	51
2020-02-25T19:46:22	80	76	80	52
2020-02-25T19:46:32	81	76	80	52
2020-02-25T19:46:42	80	78	79	52
2020-02-25T19:46:52	80	78	78	52
2020-02-25T19:47:02	80	78	78	53
2020-02-25T19:47:12	80	77	77	53
2020-02-25T19:47:22	80	76	76	53
2020-02-25T19:47:32	79	76	77	53
2020-02-25T19:47:42	79	77	79	53
2020-02-25T19:47:52	79	80	81	53
2020-02-25T19:48:02	79	81	80	54
2020-02-25T19:48:12	79	82	80	54
2020-02-25T19:48:22	79	83	80	54
2020-02-25T19:48:32	79	82	80	54
2020-02-25T19:48:42	81	82	80	54
2020-02-25T19:48:52	82	81	81	55
2020-02-25T19:49:02	82	81	80	55
2020-02-25T19:49:12	82	80	81	55
2020-02-25T19:49:22	82	80	81	55
2020-02-25T19:49:32	83	80	81	56
2020-02-25T19:49:42	83	82	84	56
2020-02-25T19:49:52	83	84	85	56
2020-02-25T19:50:02	84	84	85	56
2020-02-25T19:50:12	84	85	85	56
2020-02-25T19:50:22	84	85	85	56
2020-02-25T19:50:32	83	86	85	57
2020-02-25T19:50:42	83	84	85	57
2020-02-25T19:50:52	83	84	84	57
2020-02-25T19:51:02	83	84	83	57
2020-02-25T19:51:12	83	84	86	57
2020-02-25T19:51:22	86	85	90	57
2020-02-25T19:51:32	89	85	91	58
2020-02-25T19:51:42	89	85	92	58
2020-02-25T19:51:52	90	84	92	59
2020-02-25T19:52:02	90	84	92	59
2020-02-25T19:52:12	90	87	91	59
2020-02-25T19:52:22	90	89	92	60
2020-02-25T19:52:32	89	90	90	60
2020-02-25T19:52:42	89	91	89	60
2020-02-25T19:52:52	89	91	89	60
2020-02-25T19:53:02	88	91	89	60
2020-02-25T19:53:12	88	91	88	60
2020-02-25T19:53:22	88	91	88	60
2020-02-25T19:53:32	88	90	91	60
2020-02-25T19:53:42	91	91	93	61
2020-02-25T19:53:52	93	91	95	61
2020-02-25T19:54:02	94	90	95	62
2020-02-25T19:54:12	94	91	94	62
2020-02-25T19:54:22	95	89	94	63
2020-02-25T19:54:32	94	91	93	63
2020-02-25T19:54:42	94	92	92	63
2020-02-25T19:54:52	94	92	91	63
2020-02-25T19:55:02	93	92	91	63
2020-02-25T19:55:12	93	93	93	63
2020-02-25T19:55:22	93	93	95	63
2020-02-25T19:55:32	94	93	96	64
2020-02-25T19:55:42	94	93	95	64
2020-02-25T19:55:52	93	93	94	64
2020-02-25T19:56:02	93	95	94	64
2020-02-25T19:56:12	94	95	97	64
2020-02-25T19:56:22	97	97	101	66
2020-02-25T19:56:32	97	97	100	66
2020-02-25T19:56:42	99	97	100	67
2020-02-25T19:56:52	99	97	101	67
2020-02-25T19:57:02	98	96	99	67
2020-02-25T19:57:12	98	96	98	67
2020-02-25T19:57:22	97	97	98	67
2020-02-25T19:57:32	97	96	97	67
2020-02-25T19:57:42	98	96	96	67
2020-02-25T19:57:52	101	98	99	67
2020-02-25T19:58:02	101	101	102	67
2020-02-25T19:58:12	101	103	101	69
2020-02-25T19:58:22	102	103	101	69
2020-02-25T19:58:32	103	102	101	69
2020-02-25T19:58:42	103	102	101	70
2020-02-25T19:58:52	102	102	100	70
2020-02-25T19:59:02	101	102	100	70
2020-02-25T19:59:12	102	102	101	70
2020-02-25T19:59:22	102	102	102	70
2020-02-25T19:59:32	102	102	102	70
2020-02-25T19:59:42	101	102	103	70
