time	1-SP	1-T	2-T	2-SP
2021-07-11T11:49:12.786Z	610	613	555	556
2021-07-11T11:49:32.805Z	665	662	583	584
2021-07-11T11:49:52.808Z	717	715	611	609
2021-07-11T11:50:12.823Z	763	765	638	637
2021-07-11T11:50:32.827Z	809	811	663	664
2021-07-11T11:50:52.829Z	852	850	689	691
2021-07-11T11:51:12.833Z	890	888	715	714
2021-07-11T11:51:32.846Z	920	922	741	740
2021-07-11T11:51:52.849Z	948	949	763	764
2021-07-11T11:52:12.860Z	970	970	787	788
2021-07-11T11:52:32.865Z	987	986	810	809
2021-07-11T11:52:52.878Z	996	996	831	830
2021-07-11T11:53:12.892Z	1000	1000	850	851
2021-07-11T11:53:32.907Z	998	998	870	871
2021-07-11T11:53:52.909Z	989	989	889	888
2021-07-11T11:54:12.908Z	975	974	906	905
2021-07-11T11:54:32.923Z	954	953	920	921
2021-07-11T11:54:52.932Z	928	929	935	936
2021-07-11T11:55:12.949Z	896	897	948	948
2021-07-11T11:55:32.957Z	862	860	960	960
2021-07-11T11:55:52.969Z	821	819	970	970
2021-07-11T11:56:12.979Z	775	777	979	979
2021-07-11T11:56:32.991Z	726	728	986	986
2021-07-11T11:56:53.002Z	679	677	992	992
2021-07-11T11:57:13.005Z	625	623	996	996
2021-07-11T11:57:33.017Z	570	572	999	999
2021-07-11T11:57:53.026Z	513	516	1000	1000
2021-07-11T11:58:13.037Z	457	459	1000	1000
2021-07-11T11:58:33.045Z	406	403	998	998
2021-07-11T11:58:53.055Z	351	348	994	994
2021-07-11T11:59:13.064Z	297	300	989	989
2021-07-11T11:59:33.076Z	247	249	983	983
2021-07-11T11:59:53.087Z	204	202	975	975
2021-07-11T12:00:13.098Z	160	158	965	965
2021-07-11T12:00:33.105Z	121	119	955	954
2021-07-11T12:00:53.126Z	87	88	942	942
2021-07-11T12:01:13.135Z	58	59	928	928
2021-07-11T12:01:33.136Z	36	35	913	914
2021-07-11T12:01:53.147Z	18	17	897	897
2021-07-11T12:02:13.159Z	6	6	880	880
2021-07-11T12:02:33.169Z	0	1	861	861
2021-07-11T12:02:53.181Z	1	1	841	842
2021-07-11T12:03:13.192Z	8	8	820	821
2021-07-11T12:03:33.192Z	20	21	798	799
2021-07-11T12:03:53.199Z	39	40	775	776
2021-07-11T12:04:13.200Z	64	65	753	752
2021-07-11T12:04:33.214Z	94	93	729	727
2021-07-11T12:04:53.222Z	130	128	703	702
2021-07-11T12:05:13.232Z	170	168	677	678
2021-07-11T12:05:33.241Z	210	213	650	652
2021-07-11T12:05:53.254Z	258	261	623	624
2021-07-11T12:06:13.261Z	309	312	598	597
2021-07-11T12:06:33.280Z	363	360	570	569
2021-07-11T12:06:53.286Z	418	415	542	541
2021-07-11T12:07:13.288Z	473	471	514	515
2021-07-11T12:07:33.302Z	525	527	486	487
2021-07-11T12:07:53.309Z	581	584	460	459
2021-07-11T12:08:13.320Z	637	634	432	431
2021-07-11T12:08:33.334Z	690	688	404	403
2021-07-11T12:08:53.340Z	737	739	376	378
2021-07-11T12:09:13.350Z	785	787	349	350
2021-07-11T12:09:33.357Z	829	831	323	324
2021-07-11T12:09:53.369Z	869	871	299	298
2021-07-11T12:10:13.379Z	905	903	274	272
2021-07-11T12:10:33.396Z	935	934	249	248
2021-07-11T12:10:53.404Z	960	959	225	226
2021-07-11T12:11:13.407Z	978	979	202	203
2021-07-11T12:11:33.417Z	991	992	179	180
2021-07-11T12:11:53.423Z	999	999	160	159
2021-07-11T12:12:13.427Z	1000	1000	140	139
2021-07-11T12:12:33.429Z	994	995	121	120
2021-07-11T12:12:53.434Z	983	983	103	103
2021-07-11T12:13:13.438Z	965	966	87	88
2021-07-11T12:13:33.442Z	943	942	72	72
2021-07-11T12:13:53.451Z	915	913	59	58
2021-07-11T12:14:13.474Z	880	882	46	46
2021-07-11T12:14:33.484Z	841	843	35	35
2021-07-11T12:14:53.490Z	798	800	26	26
2021-07-11T12:15:13.492Z	755	753	17	18
2021-07-11T12:15:33.499Z	705	702	11	11
2021-07-11T12:15:53.509Z	652	650	6	6
2021-07-11T12:16:13.512Z	598	600	2	2
2021-07-11T12:16:33.523Z	542	544	0	1
2021-07-11T12:16:53.531Z	490	488	0	0
2021-07-11T12:17:13.540Z	434	431	1	1
2021-07-11T12:17:33.554Z	378	376	4	4
2021-07-11T12:17:53.556Z	324	327	8	8
2021-07-11T12:18:13.560Z	273	275	14	14
2021-07-11T12:18:33.565Z	228	226	21	21
2021-07-11T12:18:53.582Z	182	180	30	29
2021-07-11T12:19:13.597Z	141	139	39	40
2021-07-11T12:19:33.600Z	104	105	51	52
2021-07-11T12:19:53.615Z	72	73	64	65
2021-07-11T12:20:13.630Z	46	47	79	78
2021-07-11T12:20:33.638Z	27	26	94	94
2021-07-11T12:20:53.651Z	11	11	112	111
2021-07-11T12:21:13.655Z	3	2	128	129
2021-07-11T12:21:33.666Z	0	0	148	149
2021-07-11T12:21:53.669Z	4	4	168	169
2021-07-11T12:22:13.680Z	14	13	190	189
2021-07-11T12:22:33.688Z	29	29	213	212
2021-07-11T12:22:53.697Z	50	51	236	235
2021-07-11T12:23:13.704Z	78	79	258	259
2021-07-11T12:23:33.709Z	111	109	284	285
2021-07-11T12:23:53.710Z	149	147	309	308
2021-07-11T12:24:13.720Z	187	189	336	335
2021-07-11T12:24:33.721Z	233	235	363	361
2021-07-11T12:24:53.730Z	282	284	387	389
2021-07-11T12:25:13.736Z	334	336	415	416
2021-07-11T12:25:33.744Z	388	386	443	444
2021-07-11T12:25:53.754Z	444	441	471	470
2021-07-11T12:26:13.768Z	500	498	499	498
2021-07-11T12:26:53.783Z	607	609	555	554
2021-07-11T12:27:13.787Z	661	664	581	582
2021-07-11T12:27:33.786Z	713	711	608	610
2021-07-11T12:27:53.790Z	763	761	636	637
2021-07-11T12:28:13.794Z	809	807	663	662
2021-07-11T12:28:33.796Z	848	850	689	688
2021-07-11T12:28:53.798Z	886	887	715	714
2021-07-11T12:29:13.811Z	919	920	740	739
2021-07-11T12:29:33.823Z	947	948	762	763
2021-07-11T12:29:53.829Z	969	968	785	786
2021-07-11T12:30:13.841Z	986	985	808	809
2021-07-11T12:30:33.854Z	996	996	830	829
2021-07-11T12:30:53.866Z	1000	1000	851	850
2021-07-11T12:31:13.871Z	998	998	869	869
2021-07-11T12:31:33.877Z	990	990	887	888
2021-07-11T12:31:53.889Z	975	976	904	905
2021-07-11T12:32:13.895Z	955	956	920	920
2021-07-11T12:32:33.899Z	931	929	935	934
2021-07-11T12:32:53.906Z	899	898	947	948
2021-07-11T12:33:13.918Z	863	861	959	959
2021-07-11T12:33:33.922Z	822	824	969	970
2021-07-11T12:33:53.929Z	777	779	978	979
2021-07-11T12:34:13.940Z	729	731	986	985
2021-07-11T12:34:33.945Z	682	679	992	991
2021-07-11T12:34:53.963Z	628	626	996	996
2021-07-11T12:35:13.975Z	573	570	999	999
2021-07-11T12:35:33.976Z	516	519	1000	1000
2021-07-11T12:35:53.989Z	460	463	1000	1000
2021-07-11T12:36:13.998Z	404	407	998	998
2021-07-11T12:36:34.004Z	354	352	994	994
