time	1-T	2-T
2021-02-21T12:17:14.828Z	503	502
2021-02-21T12:17:16.828Z	511	505
2021-02-21T12:17:18.828Z	516	508
2021-02-21T12:17:20.828Z	521	511
2021-02-21T12:17:22.831Z	526	513
2021-02-21T12:17:24.832Z	533	516
2021-02-21T12:17:26.832Z	538	518
2021-02-21T12:17:28.832Z	543	522
2021-02-21T12:17:30.833Z	548	525
2021-02-21T12:17:32.832Z	553	527
2021-02-21T12:17:34.833Z	561	530
2021-02-21T12:17:36.834Z	566	533
2021-02-21T12:17:38.833Z	571	536
2021-02-21T12:17:40.833Z	576	538
2021-02-21T12:17:42.834Z	583	541
2021-02-21T12:17:44.834Z	588	543
2021-02-21T12:17:46.835Z	593	547
2021-02-21T12:17:48.836Z	598	550
2021-02-21T12:17:50.836Z	603	552
2021-02-21T12:17:52.837Z	610	555
2021-02-21T12:17:54.837Z	615	558
2021-02-21T12:17:56.836Z	620	561
2021-02-21T12:17:58.837Z	625	563
2021-02-21T12:18:00.837Z	630	566
2021-02-21T12:18:02.836Z	637	568
2021-02-21T12:18:04.837Z	642	572
2021-02-21T12:18:06.837Z	647	574
2021-02-21T12:18:08.837Z	651	577
2021-02-21T12:18:10.836Z	658	579
2021-02-21T12:18:12.837Z	663	582
2021-02-21T12:18:14.837Z	668	586
2021-02-21T12:18:16.838Z	673	588
2021-02-21T12:18:18.838Z	677	591
2021-02-21T12:18:21.889Z	687	593
2021-02-21T12:18:23.891Z	692	597
2021-02-21T12:18:25.891Z	697	601
2021-02-21T12:18:27.891Z	701	603
2021-02-21T12:18:29.892Z	707	605
2021-02-21T12:18:31.891Z	712	609
2021-02-21T12:18:33.891Z	716	611
2021-02-21T12:18:35.892Z	721	614
2021-02-21T12:18:37.891Z	728	616
2021-02-21T12:18:39.892Z	732	619
2021-02-21T12:18:41.891Z	737	623
2021-02-21T12:18:43.891Z	741	625
2021-02-21T12:18:45.892Z	746	627
2021-02-21T12:18:47.892Z	752	630
2021-02-21T12:18:49.893Z	756	632
2021-02-21T12:18:51.893Z	761	636
2021-02-21T12:18:53.894Z	765	638
2021-02-21T12:18:55.894Z	769	641
2021-02-21T12:18:57.896Z	776	643
