time	1-T	2-T	3-T	4-T
2021-12-03T11:17:43.523Z	609	555	537	526
2021-12-03T11:18:03.524Z	661	582	555	542
2021-12-03T11:18:23.527Z	712	609	573	555
2021-12-03T11:18:43.537Z	760	635	591	569
2021-12-03T11:19:03.550Z	809	661	609	582
2021-12-03T11:19:23.556Z	850	690	627	596
2021-12-03T11:19:43.570Z	887	715	646	609
2021-12-03T11:20:03.572Z	919	739	663	624
2021-12-03T11:20:23.584Z	946	763	680	637
2021-12-03T11:20:43.587Z	968	785	697	650
2021-12-03T11:21:03.588Z	986	807	714	663
2021-12-03T11:21:23.588Z	996	831	730	676
2021-12-03T11:21:43.598Z	1000	851	748	688
2021-12-03T11:22:03.610Z	998	869	763	702
2021-12-03T11:22:23.612Z	990	887	779	715
2021-12-03T11:22:43.618Z	976	904	794	727
2021-12-03T11:23:03.621Z	955	919	808	739
2021-12-03T11:23:23.636Z	929	935	822	751
2021-12-03T11:23:43.646Z	899	948	837	764
2021-12-03T11:24:03.652Z	864	959	851	775
2021-12-03T11:24:23.664Z	824	969	863	787
2021-12-03T11:24:43.666Z	781	978	876	798
2021-12-03T11:25:03.680Z	729	985	887	809
2021-12-03T11:25:23.681Z	679	992	900	819
2021-12-03T11:25:43.682Z	627	996	910	831
2021-12-03T11:26:03.684Z	573	999	921	841
2021-12-03T11:26:23.687Z	519	1000	930	851
2021-12-03T11:26:43.689Z	459	1000	939	860
2021-12-03T11:27:03.701Z	405	998	947	869
2021-12-03T11:27:23.711Z	352	994	956	879
2021-12-03T11:27:43.721Z	301	989	963	888
2021-12-03T11:28:03.729Z	252	983	970	897
2021-12-03T11:28:23.732Z	206	975	976	905
2021-12-03T11:28:43.737Z	160	966	981	913
2021-12-03T11:29:03.752Z	122	955	986	920
2021-12-03T11:29:23.757Z	88	942	990	927
2021-12-03T11:29:43.760Z	60	929	993	935
2021-12-03T11:30:03.772Z	37	914	996	942
2021-12-03T11:30:23.787Z	19	899	998	948
2021-12-03T11:30:43.794Z	6	882	999	954
2021-12-03T11:31:03.804Z	1	861	1000	959
2021-12-03T11:31:23.809Z	1	842	1000	965
2021-12-03T11:31:43.824Z	7	821	999	970
2021-12-03T11:32:03.834Z	20	800	998	974
2021-12-03T11:32:23.835Z	38	778	996	979
2021-12-03T11:32:43.849Z	64	755	993	982
2021-12-03T11:33:03.859Z	93	728	990	986
2021-12-03T11:33:23.874Z	127	704	985	989
2021-12-03T11:33:43.883Z	166	678	980	992
2021-12-03T11:34:03.888Z	208	653	975	994
2021-12-03T11:34:23.894Z	254	627	969	996
2021-12-03T11:34:43.907Z	309	600	962	998
2021-12-03T11:35:03.921Z	360	570	954	999
2021-12-03T11:35:23.934Z	413	543	947	1000
2021-12-03T11:35:43.937Z	466	517	938	1000
2021-12-03T11:36:03.952Z	526	487	929	1000
2021-12-03T11:36:23.955Z	579	460	919	1000
2021-12-03T11:36:43.971Z	632	433	909	999
2021-12-03T11:37:03.981Z	688	406	898	998
2021-12-03T11:37:23.985Z	737	377	886	996
2021-12-03T11:37:43.986Z	783	351	874	994
2021-12-03T11:38:03.990Z	826	326	862	992
2021-12-03T11:38:23.992Z	868	298	849	989
2021-12-03T11:38:44.000Z	903	274	835	986
2021-12-03T11:39:04.008Z	932	251	822	983
2021-12-03T11:39:24.019Z	959	225	808	979
2021-12-03T11:39:44.025Z	977	203	792	975
2021-12-03T11:40:04.039Z	991	182	777	970
2021-12-03T11:40:24.040Z	999	160	762	966
2021-12-03T11:40:44.049Z	1000	140	745	960
2021-12-03T11:41:04.056Z	995	122	729	955
2021-12-03T11:41:24.071Z	983	105	713	949
2021-12-03T11:41:44.076Z	966	87	696	943
2021-12-03T11:42:04.093Z	944	73	678	936
2021-12-03T11:42:24.107Z	916	59	660	929
2021-12-03T11:42:44.112Z	883	47	643	921
2021-12-03T11:43:04.116Z	846	36	625	914
2021-12-03T11:43:24.125Z	800	26	608	906
2021-12-03T11:43:44.130Z	755	18	590	898
2021-12-03T11:44:04.131Z	706	11	570	890
2021-12-03T11:44:24.143Z	655	6	552	880
2021-12-03T11:44:44.147Z	603	3	534	871
2021-12-03T11:45:04.162Z	549	1	516	862
2021-12-03T11:45:24.163Z	488	0	497	852
2021-12-03T11:45:44.165Z	434	1	479	842
2021-12-03T11:46:04.179Z	380	4	459	832
2021-12-03T11:46:24.191Z	328	8	441	821
2021-12-03T11:46:44.206Z	278	13	423	810
2021-12-03T11:47:04.214Z	230	20	405	799
2021-12-03T11:47:24.229Z	181	29	387	788
2021-12-03T11:47:44.239Z	141	40	370	777
2021-12-03T11:48:04.250Z	106	51	350	766
2021-12-03T11:48:24.262Z	74	64	333	753
2021-12-03T11:48:44.264Z	48	78	316	741
2021-12-03T11:49:04.277Z	28	93	299	729
2021-12-03T11:49:24.283Z	11	109	283	716
2021-12-03T11:49:44.286Z	3	129	266	704
2021-12-03T11:50:04.292Z	0	148	249	691
2021-12-03T11:50:24.306Z	3	168	233	677
2021-12-03T11:50:44.308Z	12	189	218	665
2021-12-03T11:51:04.319Z	28	210	203	652
2021-12-03T11:51:24.326Z	48	233	189	639
2021-12-03T11:51:44.335Z	77	257	175	625
2021-12-03T11:52:04.345Z	109	283	159	612
2021-12-03T11:52:24.347Z	145	308	146	597
2021-12-03T11:52:44.360Z	186	334	134	584
2021-12-03T11:53:04.361Z	230	360	122	570
2021-12-03T11:53:24.372Z	283	386	110	557
2021-12-03T11:53:44.377Z	333	416	99	543
2021-12-03T11:54:04.384Z	385	443	87	530
2021-12-03T11:54:24.385Z	439	470	77	515
2021-12-03T11:54:44.399Z	494	497	68	501
2021-12-03T11:55:04.399Z	548	525	59	487
2021-12-03T11:55:24.402Z	602	552	51	474
2021-12-03T11:55:44.403Z	660	579	43	460
2021-12-03T11:56:04.408Z	711	609	35	446
2021-12-03T11:56:24.416Z	759	635	29	431
2021-12-03T11:56:44.423Z	804	661	23	418
2021-12-03T11:57:04.432Z	845	687	18	405
2021-12-03T11:57:24.439Z	887	711	13	391
2021-12-03T11:57:44.443Z	919	739	10	378
2021-12-03T11:58:04.450Z	946	762	6	363
2021-12-03T11:58:24.463Z	968	785	4	351
2021-12-03T11:58:44.472Z	985	806	2	338
2021-12-03T11:59:04.487Z	996	829	1	325
2021-12-03T11:59:24.499Z	1000	849	0	311
2021-12-03T11:59:44.504Z	998	868	0	299
2021-12-03T12:00:04.520Z	990	887	1	286
2021-12-03T12:00:24.527Z	976	904	3	273
2021-12-03T12:00:44.538Z	957	919	5	261
2021-12-03T12:01:04.545Z	930	933	8	249
2021-12-03T12:01:24.559Z	900	947	12	238
2021-12-03T12:01:44.562Z	866	959	16	225
2021-12-03T12:02:04.566Z	827	969	20	214
2021-12-03T12:02:24.573Z	779	978	26	203
2021-12-03T12:02:44.586Z	733	985	33	191
