time	1-T	2-T
2021-02-25T08:39:58.839Z	526	514
2021-02-25T08:40:03.839Z	541	520
2021-02-25T08:40:08.840Z	554	527
2021-02-25T08:40:13.840Z	569	534
2021-02-25T08:40:18.840Z	581	541
2021-02-25T08:40:23.840Z	596	547
2021-02-25T08:40:28.840Z	608	555
2021-02-25T08:40:33.840Z	623	562
2021-02-25T08:40:38.840Z	635	568
2021-02-25T08:40:43.840Z	649	576
2021-02-25T08:40:48.841Z	664	582
2021-02-25T08:40:53.842Z	675	590
2021-02-25T08:40:58.843Z	689	596
2021-02-25T08:41:03.843Z	701	603
2021-02-25T08:41:08.845Z	715	609
2021-02-25T08:41:13.846Z	726	616
2021-02-25T08:41:18.847Z	739	624
2021-02-25T08:41:23.847Z	750	630
2021-02-25T08:41:28.847Z	763	637
2021-02-25T08:41:33.847Z	773	643
2021-02-25T08:41:38.847Z	786	650
2021-02-25T08:41:43.847Z	798	656
2021-02-25T08:41:48.847Z	808	663
2021-02-25T08:41:53.847Z	820	669
2021-02-25T08:41:58.847Z	829	676
2021-02-25T08:42:03.847Z	840	682
2021-02-25T08:42:16.047Z	526	514
2021-02-25T08:42:21.047Z	541	520
2021-02-25T08:42:26.048Z	554	527
2021-02-25T08:42:38.102Z	527	514
2021-02-25T08:42:43.104Z	542	520
2021-02-25T08:42:48.103Z	554	528
2021-02-25T08:42:53.104Z	569	534
2021-02-25T08:42:58.104Z	581	541
2021-02-25T08:43:03.104Z	596	548
2021-02-25T08:43:08.106Z	609	555
2021-02-25T08:43:13.105Z	623	561
2021-02-25T08:43:18.106Z	635	569
2021-02-25T08:43:23.106Z	650	576
2021-02-25T08:43:28.107Z	662	582
2021-02-25T08:43:33.109Z	676	590
2021-02-25T08:43:38.109Z	690	596
2021-02-25T08:43:43.109Z	701	603
2021-02-25T08:43:48.108Z	715	609
2021-02-25T08:43:53.108Z	726	617
2021-02-25T08:44:06.100Z	526	514
2021-02-25T08:44:20.117Z	526	514
2021-02-25T08:44:25.118Z	541	520
2021-02-25T08:44:30.118Z	554	527
2021-02-25T08:44:35.119Z	569	534
2021-02-25T08:44:40.122Z	581	541
2021-02-25T08:44:45.123Z	596	549
2021-02-25T08:44:50.124Z	608	555
2021-02-25T08:45:03.158Z	527	514
2021-02-25T08:45:08.158Z	542	520
2021-02-25T08:45:13.159Z	554	528
2021-02-25T08:45:36.152Z	527	514
2021-02-25T08:45:41.153Z	542	520
2021-02-25T08:45:46.154Z	554	528
2021-02-25T08:46:05.167Z	526	514
2021-02-25T08:46:10.168Z	541	520
2021-02-25T08:46:24.177Z	526	514
2021-02-25T08:46:29.177Z	541	520
2021-02-25T08:46:34.177Z	554	527
2021-02-25T08:47:00.219Z	527	514
2021-02-25T08:47:05.219Z	539	520
2021-02-25T08:47:10.219Z	554	528
2021-02-25T08:47:15.219Z	569	534
2021-02-25T08:47:20.219Z	582	541
2021-02-25T08:47:25.220Z	596	548
2021-02-25T08:47:30.219Z	609	555
2021-02-25T08:47:35.220Z	623	561
2021-02-25T08:47:40.222Z	635	569
2021-02-25T08:47:45.223Z	650	575
2021-02-25T08:47:50.224Z	662	582
2021-02-25T08:47:55.225Z	676	590
2021-02-25T08:48:00.225Z	688	596
2021-02-25T08:48:05.225Z	701	603
2021-02-25T08:48:10.225Z	715	609
2021-02-25T08:48:15.225Z	726	617
2021-02-25T08:48:20.226Z	740	623
2021-02-25T08:48:25.226Z	750	630
2021-02-25T08:48:30.226Z	763	636
2021-02-25T08:48:35.226Z	774	643
2021-02-25T08:48:40.228Z	786	649
2021-02-25T08:48:45.228Z	797	656
2021-02-25T08:48:50.228Z	809	664
2021-02-25T08:48:55.229Z	818	669
2021-02-25T08:49:00.230Z	830	677
2021-02-25T08:49:05.231Z	841	682
2021-02-25T08:49:10.233Z	850	689
2021-02-25T08:49:15.234Z	860	695
2021-02-25T08:49:20.234Z	869	702
2021-02-25T08:49:25.236Z	879	708
2021-02-25T08:49:30.236Z	887	715
2021-02-25T08:49:41.299Z	526	514
2021-02-25T08:49:46.299Z	541	520
2021-02-25T08:49:51.300Z	554	527
2021-02-25T08:49:56.301Z	569	534
2021-02-25T08:50:11.300Z	526	513
2021-02-25T08:50:16.300Z	541	520
2021-02-25T08:50:21.301Z	553	527
2021-02-25T08:50:26.302Z	568	535
2021-02-25T08:50:31.304Z	581	541
2021-02-25T08:50:36.304Z	596	548
2021-02-25T08:50:41.304Z	610	555
2021-02-25T08:50:46.303Z	622	562
2021-02-25T08:50:51.304Z	637	568
2021-02-25T08:50:56.305Z	649	576
2021-02-25T08:51:01.307Z	663	582
2021-02-25T08:51:06.308Z	675	589
2021-02-25T08:51:11.309Z	689	595
2021-02-25T08:51:16.309Z	701	603
2021-02-25T08:51:21.309Z	714	610
2021-02-25T08:51:26.310Z	725	616
2021-02-25T08:51:31.310Z	739	624
2021-02-25T08:51:36.311Z	752	630
2021-02-25T08:51:41.311Z	763	637
2021-02-25T08:51:46.311Z	775	643
2021-02-25T08:51:51.312Z	786	650
2021-02-25T08:51:56.312Z	798	656
2021-02-25T08:52:01.312Z	808	663
2021-02-25T08:52:06.314Z	820	669
2021-02-25T08:52:11.314Z	829	676
2021-02-25T08:52:16.314Z	840	682
2021-02-25T08:52:21.315Z	849	689
2021-02-25T08:52:26.315Z	860	696
2021-02-25T08:52:31.316Z	869	702
2021-02-25T08:52:36.317Z	879	709
2021-02-25T08:52:41.317Z	888	714
2021-02-25T08:52:46.317Z	896	721
