time	1-SP	1-T	2-SP	2-T
2021-05-25T11:03:22.947Z	607	610	554	556
2021-05-25T11:03:42.963Z	662	660	583	581
2021-05-25T11:04:02.969Z	715	712	608	609
2021-05-25T11:04:22.980Z	760	763	636	637
2021-05-25T11:04:42.991Z	807	809	663	662
2021-05-25T11:05:03.003Z	850	848	690	688
2021-05-25T11:05:23.013Z	888	887	713	714
2021-05-25T11:05:43.027Z	919	920	738	740
2021-05-25T11:06:03.040Z	947	948	763	762
2021-05-25T11:06:23.042Z	969	969	787	786
2021-05-25T11:06:43.048Z	986	985	809	808
2021-05-25T11:07:03.062Z	995	996	829	830
2021-05-25T11:07:23.067Z	1000	1000	850	849
2021-05-25T11:07:43.067Z	998	998	870	869
2021-05-25T11:08:03.075Z	990	990	887	888
2021-05-25T11:08:23.080Z	976	975	905	905
2021-05-25T11:08:43.081Z	955	956	921	920
2021-05-25T11:09:03.094Z	929	930	934	935
2021-05-25T11:09:23.108Z	900	898	948	948
2021-05-25T11:09:43.117Z	863	864	960	959
2021-05-25T11:10:03.125Z	821	823	970	970
2021-05-25T11:10:23.129Z	780	777	978	979
2021-05-25T11:10:43.132Z	730	728	986	986
2021-05-25T11:11:03.140Z	678	681	992	992
2021-05-25T11:11:23.153Z	629	626	996	996
2021-05-25T11:11:43.157Z	573	570	999	999
2021-05-25T11:12:03.162Z	516	519	1000	1000
2021-05-25T11:12:23.173Z	459	462	1000	1000
2021-05-25T11:12:43.182Z	408	405	998	998
2021-05-25T11:13:03.183Z	352	350	994	995
2021-05-25T11:13:23.186Z	299	301	989	990
2021-05-25T11:13:43.193Z	252	250	983	983
2021-05-25T11:14:03.207Z	205	202	975	976
2021-05-25T11:14:23.216Z	161	162	965	966
2021-05-25T11:14:43.217Z	121	123	955	955
2021-05-25T11:15:03.232Z	89	88	943	942
2021-05-25T11:15:23.239Z	59	60	929	929
2021-05-25T11:15:43.247Z	35	36	915	914
2021-05-25T11:16:03.254Z	19	18	898	897
2021-05-25T11:16:23.259Z	6	6	880	881
2021-05-25T11:16:43.263Z	1	1	861	862
2021-05-25T11:17:03.271Z	1	1	843	842
2021-05-25T11:17:23.275Z	7	8	821	822
2021-05-25T11:17:43.276Z	20	20	799	800
2021-05-25T11:18:03.286Z	40	39	778	777
2021-05-25T11:18:23.291Z	63	64	754	752
2021-05-25T11:18:43.293Z	93	94	729	730
2021-05-25T11:19:03.303Z	128	126	704	705
2021-05-25T11:19:23.313Z	168	166	677	679
2021-05-25T11:19:43.323Z	212	210	653	652
2021-05-25T11:20:03.329Z	256	258	626	625
2021-05-25T11:20:23.332Z	306	309	598	600
2021-05-25T11:20:43.334Z	360	357	571	572
2021-05-25T11:21:03.334Z	414	412	543	544
2021-05-25T11:21:23.342Z	470	468	517	516
2021-05-25T11:21:43.355Z	522	524	489	487
2021-05-25T11:22:03.361Z	578	581	460	459
2021-05-25T11:22:23.373Z	633	636	432	434
2021-05-25T11:22:43.385Z	687	684	404	406
2021-05-25T11:23:03.399Z	738	736	377	378
2021-05-25T11:23:23.408Z	786	784	352	351
2021-05-25T11:23:43.414Z	827	828	325	324
2021-05-25T11:24:03.416Z	867	869	299	298
2021-05-25T11:24:23.419Z	903	904	274	275
2021-05-25T11:24:43.431Z	934	932	249	250
2021-05-25T11:25:03.436Z	959	958	225	226
2021-05-25T11:25:23.452Z	978	978	204	203
2021-05-25T11:25:43.459Z	991	991	182	181
2021-05-25T11:26:03.468Z	998	999	161	160
2021-05-25T11:26:23.473Z	1000	1000	140	141
2021-05-25T11:26:43.488Z	995	995	121	122
2021-05-25T11:27:03.496Z	984	984	105	104
2021-05-25T11:27:23.501Z	967	966	88	89
2021-05-25T11:27:43.514Z	943	945	72	73
2021-05-25T11:28:03.516Z	914	916	59	59
2021-05-25T11:28:23.529Z	883	881	47	46
2021-05-25T11:28:43.534Z	844	846	35	36
2021-05-25T11:29:03.545Z	801	803	26	26
2021-05-25T11:29:23.556Z	758	755	18	18
2021-05-25T11:29:43.572Z	707	705	11	12
2021-05-25T11:30:03.574Z	654	656	6	6
2021-05-25T11:30:23.588Z	603	601	3	3
2021-05-25T11:30:43.594Z	547	544	1	0
2021-05-25T11:31:03.609Z	490	493	0	0
2021-05-25T11:31:23.619Z	433	436	1	1
2021-05-25T11:31:43.631Z	382	380	4	4
2021-05-25T11:32:03.643Z	328	325	8	8
2021-05-25T11:32:23.645Z	275	278	14	13
2021-05-25T11:32:43.659Z	230	228	20	21
2021-05-25T11:33:03.674Z	184	182	29	30
2021-05-25T11:33:23.683Z	142	144	39	39
2021-05-25T11:33:43.691Z	105	106	50	51
2021-05-25T11:34:03.703Z	75	74	63	64
2021-05-25T11:34:23.705Z	48	47	78	77
2021-05-25T11:34:43.708Z	26	27	94	93
2021-05-25T11:35:03.708Z	12	12	110	110
2021-05-25T11:35:23.715Z	3	3	128	129
