time	1-tT	1-T
2021-11-25T07:29:08.965Z	1000	111
2021-11-25T07:29:28.962Z	1000	111
2021-11-25T07:29:48.966Z	1000	111
2021-11-25T07:34:04.120Z	1000	115
2021-11-25T07:34:24.122Z	1000	117
2021-11-25T07:34:44.126Z	1000	119
2021-11-25T07:35:04.131Z	1000	122
2021-11-25T07:35:24.138Z	1000	126
2021-11-25T07:35:44.150Z	1000	131
2021-11-25T07:36:04.156Z	1000	136
2021-11-25T07:36:24.163Z	1000	142
2021-11-25T07:36:44.175Z	1000	149
2021-11-25T07:37:04.189Z	1000	155
2021-11-25T07:37:24.193Z	1000	163
2021-11-25T07:37:44.196Z	1000	172
2021-11-25T07:38:04.199Z	1000	181
2021-11-25T07:38:24.213Z	1000	191
2021-11-25T07:38:44.221Z	1000	201
2021-11-25T07:39:04.223Z	1000	212
2021-11-25T07:39:24.225Z	1000	223
2021-11-25T07:39:44.240Z	1000	236
2021-11-25T07:40:04.247Z	1000	246
2021-11-25T07:40:24.258Z	1000	258
2021-11-25T07:40:44.266Z	1000	270
2021-11-25T07:41:04.269Z	1000	281
2021-11-25T07:41:24.279Z	1000	294
2021-11-25T07:41:44.292Z	1000	306
2021-11-25T07:42:04.304Z	1000	320
2021-11-25T07:42:24.306Z	1000	329
2021-11-25T07:42:44.321Z	1000	341
2021-11-25T07:43:04.325Z	1000	354
2021-11-25T07:43:24.338Z	1000	364
2021-11-25T07:43:44.349Z	1000	374
2021-11-25T07:44:04.356Z	1000	384
2021-11-25T07:44:24.370Z	1000	396
2021-11-25T07:44:44.384Z	1000	406
2021-11-25T07:45:04.398Z	1000	415
2021-11-25T07:45:24.399Z	1000	427
2021-11-25T07:45:44.404Z	1000	437
2021-11-25T07:46:04.417Z	1000	447
2021-11-25T07:46:24.417Z	1000	457
2021-11-25T07:46:44.423Z	1000	467
2021-11-25T07:47:04.435Z	1000	477
2021-11-25T07:47:24.437Z	1000	486
2021-11-25T07:47:44.448Z	1000	497
2021-11-25T07:48:04.450Z	1000	506
2021-11-25T07:48:24.460Z	1000	516
2021-11-25T07:48:44.462Z	1000	525
2021-11-25T07:49:04.473Z	1000	535
2021-11-25T07:49:24.482Z	1000	542
2021-11-25T07:49:44.496Z	1000	551
2021-11-25T07:50:04.509Z	1000	556
2021-11-25T07:50:24.517Z	1000	564
2021-11-25T07:50:44.530Z	1000	571
2021-11-25T07:51:04.540Z	1000	579
2021-11-25T07:51:24.553Z	1000	586
2021-11-25T07:51:44.553Z	1000	594
2021-11-25T07:52:04.556Z	1000	601
2021-11-25T07:52:24.567Z	1000	607
2021-11-25T07:52:44.573Z	1000	614
2021-11-25T07:53:04.574Z	1000	621
2021-11-25T07:53:24.580Z	1000	627
2021-11-25T07:53:44.587Z	1000	632
2021-11-25T07:54:04.587Z	1000	638
2021-11-25T07:54:24.600Z	1000	644
2021-11-25T07:54:44.607Z	1000	649
2021-11-25T07:55:04.616Z	1000	654
2021-11-25T07:55:24.618Z	1000	658
2021-11-25T07:55:44.633Z	1000	663
2021-11-25T07:56:04.635Z	1000	667
2021-11-25T07:56:24.639Z	1000	672
2021-11-25T07:56:44.643Z	1000	676
2021-11-25T07:57:04.652Z	1000	680
2021-11-25T07:57:24.664Z	1000	684
2021-11-25T07:57:44.670Z	1000	687
2021-11-25T07:58:04.683Z	1000	691
2021-11-25T07:58:24.691Z	1000	694
2021-11-25T07:58:44.705Z	1000	698
2021-11-25T07:59:04.717Z	1000	701
2021-11-25T07:59:24.729Z	1000	705
2021-11-25T07:59:44.730Z	1000	708
2021-11-25T08:00:04.731Z	1000	711
2021-11-25T08:00:24.742Z	1000	714
2021-11-25T08:00:44.750Z	1000	717
2021-11-25T08:01:04.755Z	1000	720
2021-11-25T08:01:24.758Z	1000	723
2021-11-25T08:01:44.761Z	1000	727
2021-11-25T08:02:04.765Z	1000	730
2021-11-25T08:02:24.772Z	1000	733
2021-11-25T08:02:44.786Z	1000	736
2021-11-25T08:03:04.792Z	1000	739
2021-11-25T08:03:24.802Z	1000	742
2021-11-25T08:03:44.815Z	1000	745
