time	1-SP	1-T	2-T	2-SP
2022-01-31T11:45:47.900Z	610	607	554	556
2022-01-31T11:46:07.905Z	665	662	583	581
2022-01-31T11:46:27.916Z	713	715	611	609
2022-01-31T11:46:47.918Z	763	761	636	637
2022-01-31T11:47:07.930Z	809	807	663	664
2022-01-31T11:47:27.938Z	851	849	689	690
2022-01-31T11:47:47.947Z	889	887	715	714
2022-01-31T11:48:07.954Z	919	921	740	739
2022-01-31T11:48:27.959Z	948	949	762	763
2022-01-31T11:48:47.970Z	970	969	786	787
2022-01-31T11:49:07.976Z	985	986	809	808
2022-01-31T11:49:27.980Z	996	996	829	830
2022-01-31T11:49:47.987Z	1000	1000	850	851
2022-01-31T11:50:08.002Z	998	998	870	869
2022-01-31T11:50:28.015Z	990	989	889	888
2022-01-31T11:50:48.015Z	975	976	904	905
2022-01-31T11:51:08.028Z	954	955	921	920
2022-01-31T11:51:28.029Z	930	929	935	935
2022-01-31T11:51:48.038Z	898	900	948	948
2022-01-31T11:52:08.049Z	861	863	960	959
2022-01-31T11:52:28.058Z	823	821	970	970
2022-01-31T11:52:48.070Z	777	775	978	979
2022-01-31T11:53:08.076Z	728	730	986	986
2022-01-31T11:53:28.077Z	681	678	992	992
2022-01-31T11:53:48.077Z	626	624	996	996
2022-01-31T11:54:08.092Z	570	573	999	999
2022-01-31T11:54:28.105Z	519	516	1000	1000
2022-01-31T11:54:48.108Z	461	459	1000	1000
2022-01-31T11:55:08.121Z	405	407	998	998
2022-01-31T11:55:28.128Z	349	352	994	994
2022-01-31T11:55:48.142Z	301	298	989	989
2022-01-31T11:56:08.154Z	250	252	983	983
2022-01-31T11:56:28.170Z	202	204	975	975
2022-01-31T11:56:48.173Z	162	160	965	966
2022-01-31T11:57:08.180Z	122	120	955	955
2022-01-31T11:57:28.184Z	87	89	943	942
2022-01-31T11:57:48.186Z	60	59	929	929
2022-01-31T11:58:08.197Z	36	35	915	914
2022-01-31T11:58:28.206Z	18	18	898	897
2022-01-31T11:58:48.207Z	6	6	880	881
2022-01-31T11:59:08.210Z	1	0	861	862
2022-01-31T11:59:28.214Z	1	1	843	842
2022-01-31T11:59:48.218Z	8	8	821	820
2022-01-31T12:00:08.231Z	20	21	799	800
2022-01-31T12:00:28.241Z	39	40	778	777
2022-01-31T12:00:48.255Z	64	63	753	752
2022-01-31T12:01:08.262Z	92	93	728	729
2022-01-31T12:01:28.275Z	127	129	703	704
2022-01-31T12:01:48.290Z	168	166	679	677
2022-01-31T12:02:08.293Z	212	210	652	653
2022-01-31T12:02:28.305Z	256	259	624	625
2022-01-31T12:02:48.310Z	308	310	599	598
2022-01-31T12:03:08.321Z	361	359	571	570
2022-01-31T12:03:28.331Z	412	415	542	544
2022-01-31T12:03:48.344Z	469	471	517	515
2022-01-31T12:04:08.345Z	526	523	488	487
2022-01-31T12:04:28.348Z	583	580	459	461
2022-01-31T12:04:48.353Z	633	636	431	432
2022-01-31T12:05:08.363Z	687	685	405	404
2022-01-31T12:05:28.367Z	739	737	378	376
2022-01-31T12:05:48.369Z	783	785	350	351
2022-01-31T12:06:08.375Z	828	830	326	324
2022-01-31T12:06:28.388Z	869	867	299	298
2022-01-31T12:06:48.389Z	902	904	273	274
2022-01-31T12:07:08.396Z	933	935	250	249
2022-01-31T12:07:28.408Z	959	958	226	225
2022-01-31T12:07:48.415Z	977	978	203	204
2022-01-31T12:08:08.422Z	991	992	180	181
2022-01-31T12:08:28.432Z	999	998	161	160
2022-01-31T12:08:48.434Z	1000	1000	140	141
2022-01-31T12:09:08.444Z	995	994	121	122
2022-01-31T12:09:28.454Z	984	984	104	104
2022-01-31T12:09:48.459Z	966	967	88	87
2022-01-31T12:10:08.474Z	945	943	72	73
2022-01-31T12:10:28.482Z	915	914	59	59
2022-01-31T12:10:48.494Z	881	883	47	46
2022-01-31T12:11:08.504Z	842	844	35	36
2022-01-31T12:11:28.510Z	802	800	26	26
2022-01-31T12:11:48.518Z	755	757	18	18
2022-01-31T12:12:08.524Z	704	706	11	11
2022-01-31T12:12:28.525Z	656	653	6	6
2022-01-31T12:12:48.531Z	600	602	3	2
2022-01-31T12:13:08.538Z	543	546	1	1
2022-01-31T12:13:28.545Z	492	489	0	0
2022-01-31T12:13:48.555Z	435	432	1	1
2022-01-31T12:14:08.566Z	379	381	4	4
2022-01-31T12:14:28.576Z	324	327	8	8
2022-01-31T12:14:48.577Z	277	275	14	13
2022-01-31T12:15:08.582Z	227	229	20	21
2022-01-31T12:15:28.591Z	181	183	29	29
2022-01-31T12:15:48.605Z	143	141	40	39
2022-01-31T12:16:08.614Z	105	104	50	51
2022-01-31T12:16:28.628Z	73	74	64	64
2022-01-31T12:16:48.633Z	48	47	78	78
2022-01-31T12:17:08.639Z	27	26	93	94
2022-01-31T12:17:28.654Z	11	12	110	111
2022-01-31T12:17:48.665Z	3	3	129	128
2022-01-31T12:18:08.666Z	0	0	148	147
2022-01-31T12:18:28.673Z	3	4	167	168
2022-01-31T12:18:48.676Z	13	13	189	190
2022-01-31T12:19:08.680Z	28	29	212	211
2022-01-31T12:19:28.687Z	49	51	235	234
2022-01-31T12:19:48.695Z	77	76	258	259
2022-01-31T12:20:08.703Z	110	108	283	284
2022-01-31T12:20:28.718Z	145	146	309	308
2022-01-31T12:20:48.726Z	187	189	333	334
2022-01-31T12:21:08.729Z	233	231	360	362
2022-01-31T12:21:28.741Z	283	281	388	387
2022-01-31T12:21:48.755Z	331	333	416	415
2022-01-31T12:22:08.762Z	385	388	441	443
2022-01-31T12:22:28.776Z	442	439	470	471
2022-01-31T12:22:48.792Z	493	496	498	497
2022-01-31T12:23:08.806Z	550	553	527	526
2022-01-31T12:23:28.808Z	606	604	553	554
2022-01-31T12:23:48.816Z	661	659	581	580
2022-01-31T12:24:08.831Z	709	712	609	608
2022-01-31T12:24:28.832Z	760	762	634	635
2022-01-31T12:24:48.843Z	807	804	661	662
2022-01-31T12:25:08.847Z	850	848	688	687
2022-01-31T12:25:28.859Z	885	886	714	713
2022-01-31T12:25:48.863Z	919	917	737	738
2022-01-31T12:26:08.874Z	947	946	762	763
