time	1-SP	1-T	2-T	2-SP
2021-02-25T20:27:41.756Z	608	610	553	555
2021-02-25T20:28:01.771Z	661	664	581	582
2021-02-25T20:28:21.775Z	713	715	608	610
2021-02-25T20:28:41.779Z	762	760	635	637
2021-02-25T20:29:01.779Z	808	806	662	663
2021-02-25T20:29:21.787Z	850	848	688	689
2021-02-25T20:29:41.791Z	888	886	714	715
2021-02-25T20:30:01.791Z	920	919	739	740
2021-02-25T20:30:21.799Z	948	947	763	764
2021-02-25T20:30:41.808Z	970	969	786	785
2021-02-25T20:31:01.819Z	986	985	809	808
2021-02-25T20:31:21.828Z	995	996	830	829
2021-02-25T20:31:41.838Z	1000	1000	851	850
2021-02-25T20:32:01.839Z	998	998	870	869
2021-02-25T20:32:21.854Z	990	989	888	887
2021-02-25T20:32:41.866Z	976	975	904	905
2021-02-25T20:33:01.874Z	955	956	920	921
2021-02-25T20:33:21.880Z	929	930	935	935
2021-02-25T20:33:41.888Z	897	899	948	947
2021-02-25T20:34:01.890Z	864	862	960	959
2021-02-25T20:34:21.896Z	823	821	969	970
2021-02-25T20:34:41.897Z	777	779	978	979
2021-02-25T20:35:01.901Z	728	731	986	985
2021-02-25T20:35:21.909Z	682	679	992	991
2021-02-25T20:35:41.921Z	628	625	996	996
2021-02-25T20:36:01.933Z	572	570	999	999
2021-02-25T20:36:21.942Z	516	518	1000	1000
2021-02-25T20:36:41.950Z	459	462	1000	1000
2021-02-25T20:37:01.962Z	408	406	998	998
2021-02-25T20:37:21.965Z	353	351	995	994
2021-02-25T20:37:41.973Z	300	302	990	989
2021-02-25T20:38:01.975Z	249	251	983	983
2021-02-25T20:38:21.988Z	202	204	975	975
2021-02-25T20:38:41.998Z	159	161	966	966
2021-02-25T20:39:02.001Z	124	122	955	955
2021-02-25T20:39:22.000Z	89	88	942	943
2021-02-25T20:39:42.008Z	60	59	929	929
2021-02-25T20:40:02.023Z	36	35	914	914
2021-02-25T20:40:22.028Z	18	18	897	898
2021-02-25T20:40:42.036Z	6	6	881	880
